Karak;1704;1
Madaba;1710;2
Amman;1705;2
Aqaba;1703;3
Tafileh;1706;3
Zarqa;1712;2
Ma'an;1709;3
Ajlun;1701;1
Al Balqa;1702;2
Irbid;1707;1
Mafraq;1711;1
Jarash;1708;1
No Breakdown per Governorate;1;4
Camp;2;5
